Car,135.2,138.5,3.3
Abra,129.6,130.1,0.5
Apayao,127.8,130,2.2
Benguet,136.1,141.5,5.4
ifugao,140.9,141.1,0.2
Kalinga,132.4,132.8,0.4
Mt. Province,139.5,143.3,3.8
